gesture_id,gesture_name,error_code,error_desc
G01,Beginning position (Wuji),E00,No Error
G01,Beginning position (Wuji),E01,Feet too close together
G01,Beginning position (Wuji),E02,Feet too far apart
G01,Beginning position (Wuji),E03,Feet not parallel
G01,Beginning position (Wuji),E04,Knees locked or too straight
G01,Beginning position (Wuji),E05,Knees collapsing inward
G01,Beginning position (Wuji),E06,Weight uneven between feet
G01,Beginning position (Wuji),E07,Spine leaning forward or backward
G01,Beginning position (Wuji),E08,Shoulders lifted or tense
G01,Beginning position (Wuji),E09,Arms too stiff or held too high
G02,Tree posture (Taiji),E00,No Error
G02,Tree posture (Taiji),E01,Knees collapsing inward
G02,Tree posture (Taiji),E02,Shoulders lifted or tense
G02,Tree posture (Taiji),E03,Back not straight
G02,Tree posture (Taiji),E04,Arms too stiff
G02,Tree posture (Taiji),E05,Elbows too high or too low
G02,Tree posture (Taiji),E06,Hands too close to chest
G02,Tree posture (Taiji),E07,Weight not centered evenly
G02,Tree posture (Taiji),E08,Head leaning forward
G02,Tree posture (Taiji),E09,Hips not relaxed
G03,Open and close lotus flower,E00,No Error
G03,Open and close lotus flower,E01,Arms move unevenly
G03,Open and close lotus flower,E02,Hands not centered with chest
G03,Open and close lotus flower,E03,Elbows flare outward
G03,Open and close lotus flower,E04,Shoulders raised
G03,Open and close lotus flower,E05,Timing between opening and closing inconsistent
G03,Open and close lotus flower,E06,Chest too tense or collapsed
G03,Open and close lotus flower,E07,Movement too fast or jerky
G03,Open and close lotus flower,E08,Hands too high or too low
G03,Open and close lotus flower,E09,Weight shifting not coordinated
G04,Bring sky and earth together,E00,No Error
G04,Bring sky and earth together,E01,Arms not extending fully upward
G04,Bring sky and earth together,E02,Shoulders lifted during arm raise
G04,Bring sky and earth together,E03,Back arching instead of remaining straight
G04,Bring sky and earth together,E04,Hips not stable during motion
G04,Bring sky and earth together,E05,Hands misaligned with body centerline
G04,Bring sky and earth together,E06,Knees locked during transition
G04,Bring sky and earth together,E07,Movement lacks smooth vertical flow
G04,Bring sky and earth together,E08,Neck strained while looking up
G04,Bring sky and earth together,E09,Timing between hands and breath inconsistent
G05,Canalize energy,E00,No Error
G05,Canalize energy,E01,Arms move too quickly
G05,Canalize energy,E02,Shoulders or elbows tense
G05,Canalize energy,E03,Hands not following circular path
G05,Canalize energy,E04,Weight not evenly distributed
G05,Canalize energy,E05,Chest collapsed or stiff
G05,Canalize energy,E06,Hips not sinking naturally
G05,Canalize energy,E07,Spine leaning forward
G05,Canalize energy,E08,Breath and motion not synchronized
G05,Canalize energy,E09,Wrists too rigid
G06,Drive the monkey away,E00,No Error
G06,Drive the monkey away,E01,Arms crossing too close to body
G06,Drive the monkey away,E02,Front knee collapsing inward
G06,Drive the monkey away,E03,Back heel lifted too early
G06,Drive the monkey away,E04,Shoulders tensed during push
G06,Drive the monkey away,E05,Weight not shifting smoothly
G06,Drive the monkey away,E06,Head not aligned with torso
G06,Drive the monkey away,E07,Elbows locked
G06,Drive the monkey away,E08,Hands positioned too high
G06,Drive the monkey away,E09,Movement too abrupt
G07,Move hands like clouds,E00,No Error
G07,Move hands like clouds,E01,Arms not maintaining circular flow
G07,Move hands like clouds,E02,Upper body rotating too much or too little
G07,Move hands like clouds,E03,Shoulders lifted
G07,Move hands like clouds,E04,Hands out of sync during motion
G07,Move hands like clouds,E05,Feet not stepping parallel
G07,Move hands like clouds,E06,Weight shifting unevenly
G07,Move hands like clouds,E07,Hips not turning with torso
G07,Move hands like clouds,E08,Elbows flaring outward
G07,Move hands like clouds,E09,Movement rushed or uneven
